판매ID,날짜,채널명,거래처명,대분류,중분류,제품명,색상,원가,단가,수량,할인율,매출금액,매출원가,매출이익
1,2016-01-01,매장,이화무역,컴퓨터,컴퓨터 액세서리,블루투스 노트북 마우스 X305,White,"59,640","180,000",8,0.00%,"1,440,000","477,120","962,880"
2,2016-01-01,매장,언더우드상사,오디오,블루투스 헤드폰,블루투스 액티브 헤드폰 E202,Silver,"20,940","45,540",3,0.00%,"136,620","62,820","73,800"
3,2016-01-02,매장,대한상사,음반 & 영화,영화 DVD,DVD 9 인치 플레이어 휴대용 M300,Black,"100,944","191,988",9,0.00%,"1,727,892","908,496","819,396"
4,2016-01-02,매장,샤론통상,컴퓨터,프로젝트 & 스크린,스크린 85in E1010,Black,"85,044","166,800",4,0.00%,"667,200","340,176","327,024"
5,2016-01-02,매장,태성무역,휴대폰,스마트 폰,Microsoft Windows Mobile M200,Grey,"126,372","274,800",3,0.00%,"824,400","379,116","445,284"
6,2016-01-06,매장,신성무역,휴대폰,스마트 폰,8G 메모리 스마트 폰 M400,White,"148,440","322,800",10,0.00%,"3,228,000","1,484,400","1,743,600"
7,2016-01-06,매장,ABC상사,오디오,블루투스 헤드폰,차세대 스테레오 블루투스 헤드폰 M370,Yellow,"11,004","159,588",10,0.00%,"1,595,880","110,040","1,485,840"
8,2016-01-07,매장,ITM,휴대폰,스마트 폰,8G 메모리 스마트 폰 M400,White,"148,440","322,800",5,0.00%,"1,614,000","742,200","871,800"
9,2016-01-16,매장,협우상사,컴퓨터,컴퓨터 액세서리,배터리 충전기 - 자전거 E200,Black,"12,180","23,880",3,0.00%,"71,640","36,540","35,100"
10,2016-01-17,온라인,J마켓,TV & 비디오,TV,"32"" LCD HDTV M130",Silver,"472,368","599,988",10,0.00%,"5,999,880","4,723,680","1,276,200"
11,2016-01-18,매장,태화상사,휴대폰,스마트 폰,8G 메모리 스마트 폰 M400,Pink,"148,440","322,800",7,0.00%,"2,259,600","1,039,080","1,220,520"
12,2016-01-18,온라인,k마켓,음반 & 영화,영화 DVD,DVD 55 DVD 저장 바인더 M56,Black,"13,800","15,192",1,0.00%,"15,192","13,800","1,392"
13,2016-01-18,매장,동광통상,컴퓨터,랩탑,노트북12 M2002,Red,"250,836","441,600",1,10.00%,"441,600","250,836","190,764"
14,2016-01-21,매장,한미전자,음반 & 영화,영화 DVD,DVD 9 인치 플레이어 휴대용 M300,Black,"100,944","191,988",1,0.00%,"191,988","100,944","91,044"
15,2016-01-26,매장,삼화상사,TV & 비디오,TV,"37"" 1080p LCD HDTV M150W",White,"607,020","1,319,988",1,0.00%,"1,319,988","607,020","712,968"
16,2016-01-27,매장,혜성 백화점,오디오,블루투스 헤드폰,블루투스 액티브 헤드폰 E202,Silver,"20,940","45,540",3,0.00%,"136,620","62,820","73,800"
17,2016-01-27,매장,태화상사,휴대폰,스마트 폰,8G 메모리 스마트 폰 M400,Pink,"148,440","322,800",1,0.00%,"322,800","148,440","174,360"
