판매ID,날짜,채널명,거래처명,대분류,중분류,제품명,색상,원가,단가,수량,할인율,매출금액,매출원가,매출이익
1622,2019-01-02,매장,한진무역,오디오,MP4 & MP3,8GB 수퍼 슬림 MP3/Video Player M800,White,"60,672","131,940",8,0.00%,"1,055,520","485,376","570,144"
1623,2019-01-05,매장,동광통상,TV & 비디오,TV,"52"" LCD HDTV X790W",White,"115,020","1,910,640",3,10.00%,"5,731,920","345,060","5,386,860"
1624,2019-01-05,매장,한진무역,음반 & 영화,영화 DVD,DVD 9 인치 플레이어 휴대용 M300,Black,"397,584","404,459",4,0.00%,"1,617,836","1,590,336","27,500"
1625,2019-01-05,매장,삼화상사,오디오,블루투스 헤드폰,무선 송신기와 블루투스 헤드폰 X250,Silver,"99,396","299,988",3,0.00%,"899,964","298,188","601,776"
1626,2019-01-07,매장,한미전자,컴퓨터,랩탑,노트북15.4W M1548,White,"418,296","909,600",8,0.00%,"7,276,800","3,346,368","3,930,432"
1627,2019-01-10,매장,동광통상,오디오,블루투스 헤드폰,무선 송신기와 블루투스 헤드폰 X250,Silver,"99,396","299,988",5,10.00%,"1,499,940","496,980","1,002,960"
1628,2019-01-10,매장,알프스무역,오디오,블루투스 헤드폰,무선 블루투스 스테레오 헤드폰 E302,White,"22,380","48,660",5,0.00%,"243,300","111,900","131,400"
1629,2019-01-11,매장,태화상사,컴퓨터,랩탑,노트북13.3 M3000,Red,"110,124","456,000",14,0.00%,"6,384,000","1,541,736","4,842,264"
1630,2019-01-13,매장,태화상사,오디오,블루투스 헤드폰,차세대 스테레오 블루투스 헤드폰 M370,Yellow,"11,004","159,588",3,10.00%,"478,764","33,012","445,752"
1631,2019-01-15,매장,혜성 백화점,휴대폰,스마트 폰,스마트 폰 E100(카메라없음),Pink,"158,180","261,650",16,10.00%,"4,186,400","2,530,880","1,655,520"
1632,2019-01-18,매장,한미전자,휴대폰,스마트 폰,8G 메모리 스마트 폰 M400,Gold,"148,440","322,800",1,10.00%,"322,800","148,440","174,360"
1633,2019-01-21,매장,태화상사,TV & 비디오,TV,"52"" LCD HDTV X790W",White,"516,456","1,910,640",1,10.00%,"1,910,640","516,456","1,394,184"
1634,2019-01-22,매장,동광통상,음반 & 영화,영화 DVD,DVD 55 DVD 저장 바인더 M56,Black,"196,800","204,571",14,0.00%,"2,863,994","2,755,200","108,794"
1635,2019-01-25,매장,혜성 백화점,컴퓨터,프로젝트 & 스크린,프로젝트 720p DLP56,Black,"385,728","838,800",7,10.00%,"5,871,600","2,700,096","3,171,504"
1636,2019-01-25,매장,오성통상,카메라 & 캠코더,캠코더,Social Videographer 1/3'' 8.5mm E200,Grey,"100,944","198,000",5,0.00%,"990,000","504,720","485,280"
1637,2019-01-26,매장,미림 백화점,TV & 비디오,TV,"37"" 1080p LCD HDTV M150W",White,"607,020","1,319,988",3,0.00%,"3,959,964","1,821,060","2,138,904"
1638,2019-01-28,매장,삼화상사,카메라 & 캠코더,캠코더,"Trendsetter 1"" 25mm X400",Blue,"397,584","1,200,000",14,0.00%,"16,800,000","5,566,176","11,233,824"
1639,2019-01-29,매장,태강교역,TV & 비디오,TV,"40"" LCD HDTV M690",White,"471,120","1,421,964",1,0.00%,"1,421,964","471,120","950,844"
1640,2019-02-02,매장,한미전자,컴퓨터,컴퓨터 액세서리,블루투스 노트북 마우스 X305,White,"59,640","180,000",1,10.00%,"180,000","59,640","120,360"
1641,2019-02-03,매장,월드링크,카메라 & 캠코더,카메라 & 캠코더 액세서리,변환 렌즈 M550,Black,"113,124","246,000",1,10.00%,"246,000","113,124","132,876"
1642,2019-02-04,매장,신영상사,휴대폰,스마트 폰,스마트 폰 E100(카메라없음),Pink,"78,924","154,800",7,10.00%,"1,083,600","552,468","531,132"
1643,2019-02-04,매장,서주무역,컴퓨터,랩탑,노트북12 M2002,Red,"528,188","629,440",1,10.00%,"629,440","528,188","101,252"
1644,2019-02-07,매장,월드링크,오디오,블루투스 헤드폰,무선 블루투스 스테레오 헤드폰 E302,White,"22,380","48,660",1,0.00%,"48,660","22,380","26,280"
1645,2019-02-07,매장,동광통상,컴퓨터,프로젝트 & 스크린,프로젝트 720p DLP56,Black,"385,728","838,800",3,10.00%,"2,516,400","1,157,184","1,359,216"
1646,2019-02-08,매장,한미전자,오디오,블루투스 헤드폰,차세대 스테레오 블루투스 헤드폰 M370,Yellow,"11,004","159,588",1,10.00%,"159,588","11,004","148,584"
1647,2019-02-10,매장,진흥,TV & 비디오,TV,"32"" LCD HDTV M130",White,"397,584","599,988",3,10.00%,"1,799,964","1,192,752","607,212"
1648,2019-02-10,매장,미림상사,컴퓨터,랩탑,노트북19W M0196,Blue,"516,456","1,558,800",1,10.00%,"1,558,800","516,456","1,042,344"
1649,2019-02-11,매장,베네디스,휴대폰,스마트 폰,스마트 폰 E100(카메라없음),Pink,"158,180","260,220",5,10.00%,"1,301,100","790,900","510,200"
1650,2019-02-14,매장,동광통상,TV & 비디오,TV,"26"" 720p LCD HDTV M140",White,"259,344","563,964",5,10.00%,"2,819,820","1,296,720","1,523,100"
1651,2019-02-15,매장,삼화상사,TV & 비디오,TV,"52"" LCD HDTV X790W",White,"115,020","1,910,640",8,10.00%,"15,285,120","920,160","14,364,960"
1652,2019-02-16,매장,태강교역,TV & 비디오,TV,"52"" LCD HDTV X790W",White,"115,020","1,910,640",9,10.00%,"17,195,760","1,035,180","16,160,580"
1653,2019-02-16,매장,협우상사,음반 & 영화,영화 DVD,DVD 12인치 플레이어 휴대용 M400,Silver,"18,288","215,988",9,10.00%,"1,943,892","164,592","1,779,300"
1654,2019-02-21,매장,대진상사,컴퓨터,프로젝트 & 스크린,프로젝트 720p DLP56,Black,"385,728","838,800",1,10.00%,"838,800","385,728","453,072"
1655,2019-02-22,매장,동광통상,컴퓨터,랩탑,노트북12 M2002,Red,"250,836","441,600",9,10.00%,"3,974,400","2,257,524","1,716,876"
