판매ID,날짜,채널명,거래처명,대분류,중분류,제품명,색상,원가,단가,수량,할인율,매출금액,매출원가,매출이익
2261,2020-01-01,매장,한진무역,휴대폰,사무용 및 가정용 전화기,하이브리드 시스템 M60,White,"60,672","131,940",5,0.00%,"659,700","303,360","356,340"
2262,2020-01-02,매장,동광통상,카메라 & 캠코더,캠코더,Business Videographer 1/3'' 8.5mm M380,White,"115,020","1,910,640",7,10.00%,"13,374,480","805,140","12,569,340"
2263,2020-01-03,매장,한진무역,휴대폰,사무용 및 가정용 전화기,확장 무선 전화 시스템 M008,Black,"397,584","404,459",8,0.00%,"3,235,672","3,180,672","55,000"
2264,2020-01-04,매장,삼화상사,컴퓨터,랩탑,노트북15 M0150,Blue,"99,396","299,988",4,0.00%,"1,199,952","397,584","802,368"
2265,2020-01-05,매장,한미전자,오디오,녹음 펜,1GB 디지털 보이스 레코더 펜 E100,Red,"418,296","909,600",3,0.00%,"2,728,800","1,254,888","1,473,912"
2266,2020-01-06,매장,동광통상,카메라 & 캠코더,DSLR 카메라,"SLR Camera 35"" M358",Gold,"99,396","299,988",13,10.00%,"3,899,844","1,292,148","2,607,696"
2267,2020-01-07,매장,알프스무역,음반 & 영화,영화 DVD,DVD 14인치 플레이어 휴대용 L200,Silver,"22,380","48,660",8,0.00%,"389,280","179,040","210,240"
2268,2020-01-08,매장,태화상사,카메라 & 캠코더,카메라 & 캠코더 액세서리,충전식 리튬 이온 배터리 팩 E300,Silver,"110,124","456,000",14,0.00%,"6,384,000","1,541,736","4,842,264"
2269,2020-01-09,매장,태화상사,컴퓨터,컴퓨터 액세서리,홈 / 사무실 노트북 전원 어댑터 E300,Grey,"11,004","159,588",2,10.00%,"319,176","22,008","297,168"
2270,2020-01-10,매장,혜성 백화점,오디오,MP4 & MP3,16GB MP5 Play M1600,Blue,"158,180","261,650",4,10.00%,"1,046,600","632,720","413,880"
2271,2020-01-11,매장,한미전자,카메라 & 캠코더,카메라 & 캠코더 액세서리,USB 케이블 M250,White,"148,440","322,800",3,10.00%,"968,400","445,320","523,080"
2272,2020-01-12,매장,태화상사,컴퓨터,컴퓨터 액세서리,USB 웨이브 멀티미디어 키보드 E280,Blue,"516,456","1,910,640",12,10.00%,"22,927,680","6,197,472","16,730,208"
2273,2020-01-13,매장,동광통상,TV & 비디오,TV,"37"" 1080p LCD HDTV M150W",Silver,"196,800","204,571",3,0.00%,"613,713","590,400","23,313"
